id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
165753,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,17,17,17,23,0,0,0,17,23,0,Generic,1
115090,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,3,1,0,Reconnaissance,1
94208,0.869922,tcp,-,FIN,10,8,564,354,19.541982,254,252,4671.683105,2850.830322,2,1,92.765778,113.89743,6919.28064,152.457313,255,2263870183,2675193662,255,0.114883,0.072631,0.042252,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
27399,0.006334,tcp,-,FIN,24,24,2158,2478,7420.271783,31,29,2613198.75,2999684.25,6,6,0.259478,0.252696,15.443045,0.358578,255,184784137,185073967,255,0.000637,0.000521,0.000116,90,103,0,0,5,0,6,1,1,3,0,0,0,4,10,0,Normal,0
67692,0.72123,tcp,-,FIN,32,12,26974,642,59.620373,254,252,289860.375,6533.283691,13,3,22.205323,58.413273,1561.818414,71.558875,255,52177153,1359585388,255,0.140535,0.078675,0.06186,843,54,0,0,6,1,1,1,1,6,0,0,0,2,6,0,Fuzzers,1
40960,4e-06,udp,-,INT,2,0,1290,0,250000.0006,254,0,1290000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,645,0,0,0,6,2,2,2,1,5,0,0,0,2,5,0,Normal,0
2726,0.003897,tcp,-,FIN,12,12,1064,2260,5901.975721,31,29,2003592.5,4253528.0,4,4,0.323091,0.307909,16.484885,0.371479,255,3894488011,3894758481,255,0.000628,0.000502,0.000126,89,188,0,0,1,0,4,1,1,1,0,0,0,1,3,0,Normal,0
148764,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,2,16,16,16,16,0,0,0,16,16,0,Generic,1
128743,0.683658,tcp,-,FIN,10,6,582,268,21.940795,254,252,6131.720703,2621.193604,2,1,73.064667,120.503797,3831.421773,183.822531,255,2476255807,1385763733,255,0.166835,0.081133,0.085702,58,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
165792,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,3,3,3,0,0,0,6,3,0,Backdoor,1
48943,8e-06,udp,-,INT,2,0,142,0,125000.0003,254,0,71000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,71,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,Shellcode,1
122893,1e-06,scps,-,INT,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,4,4,0,Analysis,1
