,precision,recall,f1-score,support
Analysis,0.04623004953219593,0.042,0.04401362326434372,2000.0
Backdoor,0.06666666666666667,0.03264604810996564,0.04382929642445214,1746.0
DoS,0.32827151854443665,0.7650032615786041,0.4594065223778278,12264.0
Exploits,0.8741823521559204,0.39220794777348544,0.5414780361757106,33393.0
Fuzzers,0.6145355084497411,0.3459634843818742,0.44270081981633297,18184.0
Generic,0.9983411173212873,0.97795,0.9880403621989569,40000.0
Normal,0.8426100526692243,0.9256071428571429,0.8821607270499336,56000.0
Reconnaissance,0.7135797588456216,0.6882089409970451,0.7006647581153865,10491.0
Shellcode,0.2035183500151653,0.5922330097087378,0.3029345372460497,1133.0
Worms,0.022287636669470142,0.8153846153846154,0.04338927548096602,130.0
