DateTime,Vehicles
2017-06-24 00:00:00,66
2017-06-24 01:00:00,54
2017-06-24 02:00:00,47
2017-06-24 03:00:00,42
2017-06-24 04:00:00,33
2017-06-24 05:00:00,29
2017-06-24 06:00:00,34
2017-06-24 07:00:00,36
2017-06-24 08:00:00,38
2017-06-24 09:00:00,44
2017-06-24 10:00:00,51
2017-06-24 11:00:00,55
2017-06-24 12:00:00,55
2017-06-24 13:00:00,53
2017-06-24 14:00:00,55
2017-06-24 15:00:00,56
2017-06-24 16:00:00,58
2017-06-24 17:00:00,56
2017-06-24 18:00:00,58
2017-06-24 19:00:00,65
2017-06-24 20:00:00,64
2017-06-24 21:00:00,66
2017-06-24 22:00:00,64
2017-06-24 23:00:00,63
2017-06-25 00:00:00,57
2017-06-25 01:00:00,44
2017-06-25 02:00:00,35
2017-06-25 03:00:00,33
2017-06-25 04:00:00,28
2017-06-25 05:00:00,25
2017-06-25 06:00:00,27
2017-06-25 07:00:00,32
2017-06-25 08:00:00,37
2017-06-25 09:00:00,44
2017-06-25 10:00:00,52
2017-06-25 11:00:00,56
2017-06-25 12:00:00,58
2017-06-25 13:00:00,60
2017-06-25 14:00:00,55
2017-06-25 15:00:00,54
2017-06-25 16:00:00,57
2017-06-25 17:00:00,56
2017-06-25 18:00:00,59
2017-06-25 19:00:00,66
2017-06-25 20:00:00,64
2017-06-25 21:00:00,61
2017-06-25 22:00:00,64
2017-06-25 23:00:00,60
2017-06-26 00:00:00,59
2017-06-26 01:00:00,51
2017-06-26 02:00:00,42
2017-06-26 03:00:00,40
2017-06-26 04:00:00,34
2017-06-26 05:00:00,33
2017-06-26 06:00:00,41
2017-06-26 07:00:00,48
2017-06-26 08:00:00,55
2017-06-26 09:00:00,64
2017-06-26 10:00:00,73
2017-06-26 11:00:00,81
2017-06-26 12:00:00,91
2017-06-26 13:00:00,84
2017-06-26 14:00:00,87
2017-06-26 15:00:00,86
2017-06-26 16:00:00,88
2017-06-26 17:00:00,93
2017-06-26 18:00:00,107
2017-06-26 19:00:00,111
2017-06-26 20:00:00,107
2017-06-26 21:00:00,103
2017-06-26 22:00:00,99
2017-06-26 23:00:00,97
2017-06-27 00:00:00,92
2017-06-27 01:00:00,75
2017-06-27 02:00:00,69
2017-06-27 03:00:00,51
2017-06-27 04:00:00,43
2017-06-27 05:00:00,41
2017-06-27 06:00:00,46
2017-06-27 07:00:00,52
2017-06-27 08:00:00,62
2017-06-27 09:00:00,72
2017-06-27 10:00:00,93
2017-06-27 11:00:00,128
2017-06-27 12:00:00,121
2017-06-27 13:00:00,107
2017-06-27 14:00:00,119
2017-06-27 15:00:00,114
2017-06-27 16:00:00,112
2017-06-27 17:00:00,116
2017-06-27 18:00:00,122
2017-06-27 19:00:00,124
2017-06-27 20:00:00,121
2017-06-27 21:00:00,111
2017-06-27 22:00:00,98
2017-06-27 23:00:00,98
2017-06-28 00:00:00,89
2017-06-28 01:00:00,70
2017-06-28 02:00:00,63
2017-06-28 03:00:00,55
2017-06-28 04:00:00,44
2017-06-28 05:00:00,40
2017-06-28 06:00:00,45
2017-06-28 07:00:00,54
2017-06-28 08:00:00,59
2017-06-28 09:00:00,70
2017-06-28 10:00:00,88
2017-06-28 11:00:00,108
2017-06-28 12:00:00,113
2017-06-28 13:00:00,103
2017-06-28 14:00:00,114
2017-06-28 15:00:00,115
2017-06-28 16:00:00,102
2017-06-28 17:00:00,105
2017-06-28 18:00:00,113
2017-06-28 19:00:00,124
2017-06-28 20:00:00,112
2017-06-28 21:00:00,102
2017-06-28 22:00:00,96
2017-06-28 23:00:00,96
2017-06-29 00:00:00,86
2017-06-29 01:00:00,76
2017-06-29 02:00:00,63
2017-06-29 03:00:00,48
2017-06-29 04:00:00,45
2017-06-29 05:00:00,40
2017-06-29 06:00:00,49
2017-06-29 07:00:00,50
2017-06-29 08:00:00,55
2017-06-29 09:00:00,68
2017-06-29 10:00:00,104
2017-06-29 11:00:00,112
2017-06-29 12:00:00,117
2017-06-29 13:00:00,103
2017-06-29 14:00:00,112
2017-06-29 15:00:00,113
2017-06-29 16:00:00,107
2017-06-29 17:00:00,111
2017-06-29 18:00:00,112
2017-06-29 19:00:00,113
2017-06-29 20:00:00,110
2017-06-29 21:00:00,101
2017-06-29 22:00:00,96
2017-06-29 23:00:00,95
2017-06-30 00:00:00,86
2017-06-30 01:00:00,67
2017-06-30 02:00:00,60
2017-06-30 03:00:00,49
2017-06-30 04:00:00,43
2017-06-30 05:00:00,41
2017-06-30 06:00:00,44
2017-06-30 07:00:00,53
2017-06-30 08:00:00,57
2017-06-30 09:00:00,68
2017-06-30 10:00:00,88
2017-06-30 11:00:00,101
2017-06-30 12:00:00,99
2017-06-30 13:00:00,89
2017-06-30 14:00:00,104
2017-06-30 15:00:00,101
2017-06-30 16:00:00,95
2017-06-30 17:00:00,90
2017-06-30 18:00:00,95
2017-06-30 19:00:00,105
2017-06-30 20:00:00,96
2017-06-30 21:00:00,90
2017-06-30 22:00:00,84
2017-06-30 23:00:00,78
